Fund Holdings as of,"05/Apr/2021"
 
Issuer Ticker,Name,Asset Class,Weight (%),Price,Nominal,Market Value,Notional Value,Sector,ISIN,Exchange,Location,Market Currency
"RBC","REGAL BELOIT CORP","Equity","0.09","148.21","23,895.00","3,541,477.95","3,541,477.95","Industrials","US7587501039","New York Stock Exchange Inc.","United States","USD"
"IIVI","II VI INC","Equity","0.09","75.26","47,012.00","3,538,123.12","3,538,123.12","Information Technology","US9021041085","NASDAQ","United States","USD"
"TTEK","TETRA TECH INC","Equity","0.09","139.98","25,225.00","3,530,995.50","3,530,995.50","Industrials","US88162G1031","NASDAQ","United States","USD"
"TRGP","TARGA RESOURCES CORP","Equity","0.09","31.28","112,565.00","3,521,033.20","3,521,033.20","Energy","US87612G1013","New York Stock Exchange Inc.","United States","USD"
"CHE","CHEMED CORP","Equity","0.09","467.57","7,480.00","3,497,423.60","3,497,423.60","Health Care","US16359R1032","New York Stock Exchange Inc.","United States","USD"
"ARES","ARES MANAGEMENT CORP CLASS A","Equity","0.09","59.13","59,043.00","3,491,212.59","3,491,212.59","Financials","US03990B1017","New York Stock Exchange Inc.","United States","USD"
"EEFT","EURONET WORLDWIDE INC","Equity","0.09","139.81","24,946.00","3,487,700.26","3,487,700.26","Information Technology","US2987361092","NASDAQ","United States","USD"
"EXEL","EXELIXIS INC","Equity","0.09","23.48","148,025.00","3,475,627.00","3,475,627.00","Health Care","US30161Q1040","NASDAQ","United States","USD"
"DCI","DONALDSON INC","Equity","0.09","58.70","59,050.00","3,466,235.00","3,466,235.00","Industrials","US2576511099","New York Stock Exchange Inc.","United States","USD"
"ESTC","ELASTIC NV","Equity","0.09","113.25","30,583.00","3,463,524.75","3,463,524.75","Information Technology","NL0013056914","New York Stock Exchange Inc.","United States","USD"
"CUBE","CUBESMART REIT","Equity","0.09","38.85","88,976.00","3,456,717.60","3,456,717.60","Real Estate","US2296631094","New York Stock Exchange Inc.","United States","USD"
"CPRI","CAPRI HOLDINGS LTD","Equity","0.09","50.20","68,700.00","3,448,740.00","3,448,740.00","Consumer Discretionary","VGG1890L1076","New York Stock Exchange Inc.","United States","USD"
