Fund Holdings as of,"05/Apr/2021"
 
Issuer Ticker,Name,Asset Class,Weight (%),Price,Nominal,Market Value,Notional Value,Sector,ISIN,Exchange,Location,Market Currency
"HIG","HARTFORD FINANCIAL SERVICES GROUP","Equity","0.44","68.30","34,926.00","2,385,445.80","2,385,445.80","Financials","US4165151048","New York Stock Exchange Inc.","United States","USD"
"CLX","CLOROX","Equity","0.43","194.40","12,060.00","2,344,464.00","2,344,464.00","Consumer Staples","US1890541097","New York Stock Exchange Inc.","United States","USD"
"WKL","WOLTERS KLUWER NV","Equity","0.42","88.21","26,074.00","2,299,872.45","2,299,872.45","Industrials","NL0000395903","Euronext Amsterdam","Netherlands","EUR"
"CPRT","COPART INC","Equity","0.42","113.75","20,180.00","2,295,475.00","2,295,475.00","Industrials","US2172041061","NASDAQ","United States","USD"
"URI","UNITED RENTALS INC","Equity","0.42","331.53","6,888.00","2,283,578.64","2,283,578.64","Industrials","US9113631090","New York Stock Exchange Inc.","United States","USD"
"ODFL","OLD DOMINION FREIGHT LINE INC","Equity","0.41","246.30","8,963.00","2,207,586.90","2,207,586.90","Industrials","US6795801009","NASDAQ","United States","USD"
"EPAM","EPAM SYSTEMS INC","Equity","0.40","409.31","5,336.00","2,184,078.16","2,184,078.16","Information Technology","US29414B1044","New York Stock Exchange Inc.","United States","USD"
"QRVO","QORVO INC","Equity","0.40","198.32","10,914.00","2,164,464.48","2,164,464.48","Information Technology","US74736K1016","NASDAQ","United States","USD"
"CERN","CERNER CORP","Equity","0.39","73.25","29,168.00","2,136,556.00","2,136,556.00","Health Care","US1567821046","NASDAQ","United States","USD"
"TER","TERADYNE INC","Equity","0.39","132.68","15,856.00","2,103,774.08","2,103,774.08","Information Technology","US8807701029","NASDAQ","United States","USD"
"TSN","TYSON FOODS INC CLASS A","Equity","0.39","74.62","28,102.00","2,096,971.24","2,096,971.24","Consumer Staples","US9024941034","New York Stock Exchange Inc.","United States","USD"
"1","CK HUTCHISON HOLDINGS LTD","Equity","0.38","8.03","259,000.00","2,080,113.94","2,080,113.94","Industrials","KYG217651051","Hong Kong Exchanges And Clearing Ltd","Hong Kong","HKD"
"WST","WEST PHARMACEUTICAL SERVICES INC","Equity","0.38","289.56","7,051.00","2,041,687.56","2,041,687.56","Health Care","US9553061055","New York Stock Exchange Inc.","United States","USD"
"TSCO","TRACTOR SUPPLY","Equity","0.37","180.35","11,101.00","2,002,065.35","2,002,065.35","Consumer Discretionary","US8923561067","NASDAQ","United States","USD"
"IP","INTERNATIONAL PAPER","Equity","0.36","54.70","35,661.00","1,950,656.70","1,950,656.70","Materials","US4601461035","New York Stock Exchange Inc.","United States","USD"
"GNRC","GENERAC HOLDINGS INC","Equity","0.36","325.04","6,000.00","1,950,240.00","1,950,240.00","Industrials","US3687361044","New York Stock Exchange Inc.","United States","USD"
"HPE","HEWLETT PACKARD ENTERPRISE","Equity","0.36","15.91","121,959.00","1,940,367.69","1,940,367.69","Information Technology","US42824C1099","New York Stock Exchange Inc.","United States","USD"
"DOV","DOVER CORP","Equity","0.35","140.17","13,752.00","1,927,617.84","1,927,617.84","Industrials","US2600031080","New York Stock Exchange Inc.","United States","USD"
"AEE","AMEREN CORP","Equity","0.35","81.49","23,596.00","1,922,838.04","1,922,838.04","Utilities","US0236081024","New York Stock Exchange Inc.","United States","USD"
"HZNP","HORIZON THERAPEUTICS PUBLIC PLC","Equity","0.35","90.82","21,049.00","1,911,670.18","1,911,670.18","Health Care","IE00BQPVQZ61","NASDAQ","United States","USD"
"COO","COOPER INC","Equity","0.35","387.74","4,929.00","1,911,170.46","1,911,170.46","Health Care","US2166484020","New York Stock Exchange Inc.","United States","USD"
"MKTX","MARKETAXESS HOLDINGS INC","Equity","0.35","520.00","3,626.00","1,885,520.00","1,885,520.00","Financials","US57060D1081","NASDAQ","United States","USD"
"16","SUN HUNG KAI PROPERTIES LTD","Equity","0.35","15.15","124,000.00","1,878,546.26","1,878,546.26","Real Estate","HK0016000132","Hong Kong Exchanges And Clearing Ltd","Hong Kong","HKD"
"GIB.A","CGI INC","Equity","0.34","84.64","22,005.00","1,862,563.25","1,862,563.25","Information Technology","CA12532H1047","Toronto Stock Exchange","Canada","CAD"
"BT.A","BT GROUP PLC","Equity","0.34","2.17","852,291.00","1,852,572.17","1,852,572.17","Communication","GB0030913577","London Stock Exchange","United Kingdom","GBP"
"GRMN","GARMIN LTD","Equity","0.34","135.93","13,626.00","1,852,182.18","1,852,182.18","Consumer Discretionary","CH0114405324","NASDAQ","United States","USD"
"EVO","EVOLUTION GAMING GROUP","Equity","0.33","146.93","12,263.00","1,801,840.11","1,801,840.11","Consumer Discretionary","SE0012673267","Nasdaq Omx Nordic","Sweden","SEK"
"GWW","WW GRAINGER INC","Equity","0.33","407.65","4,348.00","1,772,462.20","1,772,462.20","Industrials","US3848021040","New York Stock Exchange Inc.","United States","USD"
"EXPD","EXPEDITORS INTERNATIONAL OF WASHIN","Equity","0.33","110.56","16,014.00","1,770,507.84","1,770,507.84","Industrials","US3021301094","NASDAQ","United States","USD"
"STX","SEAGATE TECHNOLOGY PLC","Equity","0.32","79.20","22,097.00","1,750,082.40","1,750,082.40","Information Technology","IE00B58JVZ52","NASDAQ","United States","USD"
"WPM","WHEATON PRECIOUS METALS CORP","Equity","0.32","40.22","42,820.00","1,722,240.68","1,722,240.68","Materials","CA9628791027","Toronto Stock Exchange","Canada","CAD"
"LOGN","LOGITECH INTERNATIONAL SA","Equity","0.32","107.42","16,006.00","1,719,412.88","1,719,412.88","Information Technology","CH0025751329","SIX Swiss Exchange","Switzerland","CHF"
"DGX","QUEST DIAGNOSTICS INC","Equity","0.31","130.13","13,086.00","1,702,881.18","1,702,881.18","Health Care","US74834L1008","New York Stock Exchange Inc.","United States","USD"
"ALLY","ALLY FINANCIAL INC","Equity","0.31","46.92","35,700.00","1,675,044.00","1,675,044.00","Financials","US02005N1000","New York Stock Exchange Inc.","United States","USD"
"VTRS","VIATRIS INC","Equity","0.30","14.05","117,593.00","1,652,181.65","1,652,181.65","Health Care","US92556V1061","NASDAQ","United States","USD"
"AKAM","AKAMAI TECHNOLOGIES INC","Equity","0.30","103.86","15,893.00","1,650,646.98","1,650,646.98","Information Technology","US00971T1016","NASDAQ","United States","USD"
"NVR","NVR INC","Equity","0.30","4,827.44","338.00","1,631,674.72","1,631,674.72","Consumer Discretionary","US62944T1051","New York Stock Exchange Inc.","United States","USD"
"CTXS","CITRIX SYSTEMS INC","Equity","0.30","142.49","11,358.00","1,618,401.42","1,618,401.42","Information Technology","US1773761002","NASDAQ","United States","USD"
"NTAP","NETAPP INC","Equity","0.29","74.33","21,450.00","1,594,378.50","1,594,378.50","Information Technology","US64110D1046","NASDAQ","United States","USD"
"STE","STERIS","Equity","0.29","195.88","8,121.00","1,590,741.48","1,590,741.48","Health Care","IE00BFY8C754","New York Stock Exchange Inc.","United States","USD"
"6501","HITACHI LTD","Equity","0.29","44.50","35,500.00","1,579,747.58","1,579,747.58","Information Technology","JP3788600009","Tokyo Stock Exchange","Japan","JPY"
"VAR","VARIAN MEDICAL SYSTEMS INC","Equity","0.29","176.85","8,889.00","1,572,019.65","1,572,019.65","Health Care","US92220P1057","New York Stock Exchange Inc.","United States","USD"
"IEX","IDEX CORP","Equity","0.28","214.66","7,211.00","1,547,913.26","1,547,913.26","Industrials","US45167R1041","New York Stock Exchange Inc.","United States","USD"
"MAS","MASCO CORP","Equity","0.28","61.80","24,975.00","1,543,455.00","1,543,455.00","Industrials","US5745991068","New York Stock Exchange Inc.","United States","USD"
"MPWR","MONOLITHIC POWER SYSTEMS INC","Equity","0.28","378.08","4,077.00","1,541,432.16","1,541,432.16","Information Technology","US6098391054","NASDAQ","United States","USD"
"RJF","RAYMOND JAMES INC","Equity","0.28","128.91","11,785.00","1,519,204.35","1,519,204.35","Financials","US7547301090","New York Stock Exchange Inc.","United States","USD"
"KNIN","KUEHNE UND NAGEL INTERNATIONAL AG","Equity","0.28","292.33","5,160.00","1,508,430.55","1,508,430.55","Industrials","CH0025238863","SIX Swiss Exchange","Switzerland","CHF"
"TRI","THOMSON REUTERS CORP","Equity","0.28","90.35","16,594.00","1,499,338.85","1,499,338.85","Industrials","CA8849037095","Toronto Stock Exchange","Canada","CAD"
"1113","CK ASSET HOLDINGS LTD","Equity","0.27","6.06","246,500.00","1,493,113.25","1,493,113.25","Real Estate","KYG2177B1014","Hong Kong Exchanges And Clearing Ltd","Hong Kong","HKD"
"6701","NEC CORP","Equity","0.27","59.11","25,000.00","1,477,731.87","1,477,731.87","Information Technology","JP3733000008","Tokyo Stock Exchange","Japan","JPY"
"EMN","EASTMAN CHEMICAL","Equity","0.26","111.16","12,922.00","1,436,409.52","1,436,409.52","Materials","US2774321002","New York Stock Exchange Inc.","United States","USD"
"CGNX","COGNEX CORP","Equity","0.26","85.34","16,787.00","1,432,602.58","1,432,602.58","Information Technology","US1924221039","NASDAQ","United States","USD"
"SOON","SONOVA HOLDING AG","Equity","0.26","272.48","5,229.00","1,424,797.16","1,424,797.16","Health Care","CH0012549785","SIX Swiss Exchange","Switzerland","CHF"
"JBHT","JB HUNT TRANSPORT SERVICES INC","Equity","0.26","171.07","8,304.00","1,420,565.28","1,420,565.28","Industrials","US4456581077","NASDAQ","United States","USD"
"DPZ","DOMINOS PIZZA INC","Equity","0.26","371.64","3,761.00","1,397,738.04","1,397,738.04","Consumer Discretionary","US25754A2015","New York Stock Exchange Inc.","United States","USD"
"WHR","WHIRLPOOL CORP","Equity","0.26","233.51","5,950.00","1,389,384.50","1,389,384.50","Consumer Discretionary","US9633201069","New York Stock Exchange Inc.","United States","USD"
"SJM","JM SMUCKER","Equity","0.25","127.09","10,900.00","1,385,281.00","1,385,281.00","Consumer Staples","US8326964058","New York Stock Exchange Inc.","United States","USD"
"ABMD","ABIOMED INC","Equity","0.25","321.50","4,305.00","1,384,057.50","1,384,057.50","Health Care","US0036541003","NASDAQ","United States","USD"
"PHM","PULTEGROUP INC","Equity","0.25","53.83","25,612.00","1,378,693.96","1,378,693.96","Consumer Discretionary","US7458671010","New York Stock Exchange Inc.","United States","USD"
"6988","NITTO DENKO CORP","Equity","0.25","89.34","15,400.00","1,375,911.38","1,375,911.38","Materials","JP3684000007","Tokyo Stock Exchange","Japan","JPY"
"MAERSK B","A P MOLLER MAERSK B","Equity","0.25","2,337.29","587.00","1,371,991.34","1,371,991.34","Industrials","DK0010244508","Omx Nordic Exchange Copenhagen A/S","Denmark","DKK"
"POOL","POOL CORP","Equity","0.25","357.00","3,830.00","1,367,310.00","1,367,310.00","Consumer Discretionary","US73278L1052","NASDAQ","United States","USD"
"NN","NN GROUP NV","Equity","0.25","49.33","27,324.00","1,347,880.04","1,347,880.04","Financials","NL0010773842","Euronext Amsterdam","Netherlands","EUR"
"LNT","ALLIANT ENERGY CORP","Equity","0.25","54.84","24,568.00","1,347,309.12","1,347,309.12","Utilities","US0188021085","NASDAQ","United States","USD"
"MOH","MOLINA HEALTHCARE INC","Equity","0.25","236.72","5,682.00","1,345,043.04","1,345,043.04","Health Care","US60855R1005","New York Stock Exchange Inc.","United States","USD"
"WRK","WESTROCK","Equity","0.25","52.87","25,276.00","1,336,342.12","1,336,342.12","Materials","US96145D1054","New York Stock Exchange Inc.","United States","USD"
"SCMN","SWISSCOM AG","Equity","0.24","545.17","2,440.00","1,330,222.53","1,330,222.53","Communication","CH0008742519","SIX Swiss Exchange","Switzerland","CHF"
"OTEX","OPEN TEXT CORP","Equity","0.24","48.87","26,470.00","1,293,633.10","1,293,633.10","Information Technology","CA6837151068","Toronto Stock Exchange","Canada","CAD"
"FBHS","FORTUNE BRANDS HOME AND SECURITY I","Equity","0.24","97.78","13,196.00","1,290,304.88","1,290,304.88","Industrials","US34964C1062","New York Stock Exchange Inc.","United States","USD"
"EQH","EQUITABLE HOLDINGS INC","Equity","0.24","33.36","38,622.00","1,288,429.92","1,288,429.92","Financials","US29452E1010","New York Stock Exchange Inc.","United States","USD"
"BNR","BRENNTAG","Equity","0.24","86.86","14,756.00","1,281,714.38","1,281,714.38","Industrials","DE000A1DAHH0","Xetra","Germany","EUR"
"PSN","PERSIMMON PLC","Equity","0.24","42.01","30,454.00","1,279,492.65","1,279,492.65","Consumer Discretionary","GB0006825383","London Stock Exchange","United Kingdom","GBP"
"FFIV","F5 NETWORKS INC","Equity","0.23","215.28","5,925.00","1,275,534.00","1,275,534.00","Information Technology","US3156161024","NASDAQ","United States","USD"
"TXT","TEXTRON INC","Equity","0.23","57.56","22,064.00","1,270,003.84","1,270,003.84","Industrials","US8832031012","New York Stock Exchange Inc.","United States","USD"
"CHRW","CH ROBINSON WORLDWIDE INC","Equity","0.23","97.68","12,881.00","1,258,216.08","1,258,216.08","Industrials","US12541W2098","NASDAQ","United States","USD"
"PKG","PACKAGING CORP OF AMERICA","Equity","0.23","137.46","9,057.00","1,244,975.22","1,244,975.22","Materials","US6951561090","New York Stock Exchange Inc.","United States","USD"
"BIO","BIO RAD LABORATORIES INC CLASS A","Equity","0.23","582.80","2,113.00","1,231,456.40","1,231,456.40","Health Care","US0905722072","New York Stock Exchange Inc.","United States","USD"
"FPH","FISHER AND PAYKEL HEALTHCARE CORPO","Equity","0.23","22.40","54,903.00","1,229,990.07","1,229,990.07","Health Care","NZFAPE0001S2","New Zealand Exchange Ltd","New Zealand","NZD"
"DDOG","DATADOG INC CLASS A","Equity","0.22","83.24","14,506.00","1,207,479.44","1,207,479.44","Information Technology","US23804L1035","NASDAQ","United States","USD"
"KPN","KONINKLIJKE KPN NV","Equity","0.22","3.44","348,721.00","1,200,988.90","1,200,988.90","Communication","NL0000009082","Euronext Amsterdam","Netherlands","EUR"
"SNA","SNAP ON INC","Equity","0.22","234.28","5,081.00","1,190,376.68","1,190,376.68","Industrials","US8330341012","New York Stock Exchange Inc.","United States","USD"
"MHK","MOHAWK INDUSTRIES INC","Equity","0.22","201.19","5,908.00","1,188,630.52","1,188,630.52","Consumer Discretionary","US6081901042","New York Stock Exchange Inc.","United States","USD"
"JKHY","JACK HENRY AND ASSOCIATES INC","Equity","0.22","157.25","7,498.00","1,179,060.50","1,179,060.50","Information Technology","US4262811015","NASDAQ","United States","USD"
"NLOK","NORTONLIFELOCK INC","Equity","0.22","22.10","53,050.00","1,172,405.00","1,172,405.00","Information Technology","US6687711084","NASDAQ","United States","USD"
"MASI","MASIMO CORP","Equity","0.21","233.65","4,994.00","1,166,848.10","1,166,848.10","Health Care","US5747951003","NASDAQ","United States","USD"
"FDS","FACTSET RESEARCH SYSTEMS INC","Equity","0.21","320.55","3,626.00","1,162,314.30","1,162,314.30","Financials","US3030751057","New York Stock Exchange Inc.","United States","USD"
"ATO","ATMOS ENERGY CORP","Equity","0.21","98.62","11,777.00","1,161,447.74","1,161,447.74","Utilities","US0495601058","New York Stock Exchange Inc.","United States","USD"
"UCB","UCB SA","Equity","0.21","95.57","12,070.00","1,153,503.95","1,153,503.95","Health Care","BE0003739530","Nyse Euronext - Euronext Brussels","Belgium","EUR"
"KINV B","KINNEVIK CLASS B","Equity","0.21","49.50","23,100.00","1,143,538.10","1,143,538.10","Financials","SE0014684528","Nasdaq Omx Nordic","Sweden","SEK"
"DISCK","DISCOVERY INC SERIES C","Equity","0.20","36.10","30,856.00","1,113,901.60","1,113,901.60","Communication","US25470F3029","NASDAQ","United States","USD"
"BKI","BLACK KNIGHT INC","Equity","0.20","74.63","14,902.00","1,112,136.26","1,112,136.26","Information Technology","US09215C1053","New York Stock Exchange Inc.","United States","USD"
"BAH","BOOZ ALLEN HAMILTON HOLDING CORP C","Equity","0.20","83.69","13,157.00","1,101,109.33","1,101,109.33","Industrials","US0995021062","New York Stock Exchange Inc.","United States","USD"
"BWA","BORGWARNER INC","Equity","0.20","46.79","23,339.00","1,092,031.81","1,092,031.81","Consumer Discretionary","US0997241064","New York Stock Exchange Inc.","United States","USD"
"FNF","FIDELITY NATIONAL FINANCIAL INC","Equity","0.20","41.73","25,981.00","1,084,187.13","1,084,187.13","Financials","US31620R3030","New York Stock Exchange Inc.","United States","USD"
"HFG","HELLOFRESH","Equity","0.20","76.52","14,109.00","1,079,692.23","1,079,692.23","Consumer Discretionary","DE000A161408","Xetra","Germany","EUR"
"STLD","STEEL DYNAMICS INC","Equity","0.20","51.82","20,807.00","1,078,218.74","1,078,218.74","Materials","US8581191009","NASDAQ","United States","USD"
